sentiment,emotion,summary
Negative,Sadness,"The comment expresses pain or disappointment, indicating a negative, sad emotion."
Negative,Anger,"The speaker is angry about the irresponsible behavior of the subject, expressing anger and disgust."
Negative,Contempt,"The statement implies the comment is of poor quality, suggesting disdain or scorn."
Negative,Disgust,"Seems like it was thrown out while still alive, because if it was really dead, it couldn't be thrown away, it was intentionally tossed in a cruel way 🥹🥹"
Negative,Disgust,How can that person be so callous as to dump their dog in the river? So cruel
Negative,Anger,"An app to lower IQ, for those who comment on all toll roads"
Negative,Disgust,"For those asking for cleaning, please be independent. Your house won't accumulate debt if you clean it regularly 🙏"
Negative,Anger,"So stupid, swear"
Negative,Sadness,"The repeated ""😭"
Negative,Fear/Surprise,"The reviewer seems shocked or alarmed, indicated by the ""😳😳😳"" emoticons."
Negative,Anger,"The reviewer is expressing strong disapproval and anger towards someone who threw dog feces into the river, using the emoticons ""🙏🙏""."
Negative,Disgust,"The reviewer is expressing disgust and outrage towards someone who threw dog feces into the river, using the emoticons ""🤬🤬""."
Negative,Anger,"The reviewer expresses strong disapproval and anger towards someone who threw a dog into the river, using the emoticon ""🙁""."
Negative,Sadness,It's so terrible to throw things into the river 🥲
Negative,Contempt,"The reviewer implies the app has a negative impact, suggesting disdain or scorn."
Negative,Surprise,The reviewer is shocked and disapproves of certain responses to a situation.
Negative,Anger,The reviewer expresses frustration and disapproval.
Negative,Disgust,The reviewer expresses strong disapproval and distaste for someone throwing dog feces into a river.
Negative,Fear,Ragebait warning
Negative,Anger,The act of burying a living creature is depicted as cruel and heartless.
Negative,Sadness,The reviewer expresses sadness or disappointment over someone's cruel act of throwing a dog into the river.
Negative,Disgust,I can't even imagine the smell 🥵
Negative,Anger,The reviewer criticizes an app for lowering intelligence.
Negative,Anger,"The reviewer criticizes someone for their extreme actions, comparing it to a buzzer or low standards."
Negative,Anger,"The reviewer uses a derogatory term, indicating anger or frustration."
Negative,Disgust,The reviewer criticizes a comment for being of low quality or standards.
Negative,Disgust,The smell reaches here 😭
Negative,Anger,The reviewer expresses anger and disapproval towards someone throwing dog poop into the river.
Negative,Disgust,How can that person be so brave to throw their dog into the river? So cruel. This expresses shock and disgust at the perceived cruel act. The emotion is Disgust.
Negative,Disgust,"An app to reduce IQ, those commenting on the tolls are all like that. This expresses disdain and disgust towards perceived low intelligence. The emotion is Disgust."
Negative,Anger,"So stupid, swear to god. This is a negative comment expressing frustration and anger. The emotion is Anger."
Negative,Anger,The comment about the service is too low! This expresses dissatisfaction and anger towards the service quality. The emotion is Anger.
Negative,Sadness,😭😭😭
Negative,Disgust,"So strong, no need for a mask when opening the café, yuck 🤢"
Negative,Disgust,"Hadeeewwww Ya Allah, why is it so extreme to throw dog feces into the river? For others, please ask for help if you see any, don't just throw it into the river, bury it directly, gays."
Negative,Sadness,I see her whining here 😫
Negative,Fear,"😱😱😱, expressing fear or shock at the situation."
Negative,Sadness,The sentiment expresses disappointment and sadness over human behavior.
Negative,Sadness,"😢 is a symbol for sadness, indicating a negative sentiment."
Negative,Fear,The repeated use of 😱 suggests a sense of shock or fear.
Negative,Anger,The act of throwing dog poop in the river is unacceptable and demonstrates a lack of respect and proper disposal etiquette.
Negative,Anger,Ragebait warning
Negative,Fear,"😱😱😱 indicates a strong negative sentiment, specifically fear or surprise."
Negative,Disgust,"Oh my, how could someone throw dog feces into the river like that? For others, please ask for help if you see feces, don't just throw it into the river! Gays, please bury it directly."
Negative,Disgust,"""Yuck"" indicates a strong negative sentiment, specifically disgust."
Negative,Sadness,"Even though I'm Muslim, I'm not brave enough, it's sad 😭"
Negative,Anger,"It seems like it was thrown away while still alive, if it's really dead, it's deliberately cruel. 😡😡"
Negative,Sadness,How can someone be so heartless as to throw a dog into the river? 😥
Negative,Disgust,"This app seems to lower IQ, commenting on every toll."
Negative,Disgust,So terrible to throw in the river.
Negative,Anger,"Oh my, humans have no etiquette, throwing away a body like that. 😭"
Negative,Anger,"Oh my God, why would someone throw dog feces into the river like that? For those who do it, please ask for help if you need to dispose of it, don't just throw it into the river, bury it directly, you guys are so insensitive, expressing anger and disgust."
Negative,Surprise,😳😳😳 (Oh no!)
Negative,Anger,"🥹🥹, expressing anger and disapproval towards the act of disposing of a living dog."
Negative,Sadness,"😢 It's so mean, indicating deep sadness over the mistreatment of the dog."
Negative,Anger,"Describes an app as IQ-lowering and bothersome, indicating anger or frustration."
Negative,Anger,Can't imagine the smell 🥵
Negative,Fear,😱😱😱 expresses intense fear or surprise.
Negative,Anger,Expression of disgust and frustration over improper behavior.
Negative,Anger,Ragebait warning suggests anger or frustration.
Negative,Sadness,"It's incredibly tough to throw a dog into the river while it's still alive, if it's already dead, it can't be retrieved, it must have been done intentionally, so cruel 🥺 - The reviewer expresses sadness and disgust at the cruel act."
Negative,Anger,"An app to lower IQ, especially those who comment on all toll booths - The reviewer is angry and frustrated, possibly at the lowering of intelligence or poor behavior."
Negative,Anger,"He's really dumb, swear to God - The reviewer expresses anger and frustration, likely due to someone's perceived stupidity."
Negative,Disgust,"😑 (Rolling eyes) - The reviewer shows disdain and disgust, possibly at something trivial or absurd."
Negative,Anger,His comment about the service is too low! - The reviewer expresses anger and dissatisfaction with the service.
Negative,Sadness,😢
Negative,Fear,"Suspect the poison is from the owner, not the one who did it, but if it's the owner's doing, it's terrible"
Negative,Disgust,Can't even imagine the smell 🥵
Negative,Disgust,The smell reaches all the way here 😭
Negative,Sadness,The statement expresses dismay and sadness over someone's callous behavior.
Negative,Fear,😱😱😱 expresses intense fear or shock.
Negative,Disgust,The product's strength is so overwhelming it's nauseating.
Negative,Anger,The act of throwing something in the river is considered wrong and upsetting.
Negative,Sadness,😭😭😭
Negative,Anger,Why are there no tough comments like Pandawa's? 😠
Negative,Disgust,k
Negative,Disgust,"The reviewer can't imagine the unpleasant smell, indicating disgust."
Negative,Surprise,The comment expresses disbelief or surprise at certain actions or statements.
Negative,Anger,The comment expresses strong disapproval or anger towards someone's actions.
Negative,Disgust,The smell's reach implies continued disgust or annoyance.
Negative,Fear/Surprise,The suspicion of a dead body evokes fear or surprise.
Negative,Disgust,The comment expresses dissatisfaction or disgust with the low score.
Negative,Suspicion,The reviewer is expressing doubt or unease about the nature of the discovered object.
Negative,Anger,"The statement implies suspicion and potential harm, evoking a sense of anger or concern."
Negative,Anger,The comment suggests frustration or anger towards the boldness directed at Pandawa.
Negative,Sadness,"😫 expresses weariness or sadness, possibly due to observing others getting sick."
Negative,Fear,This expresses intense fear or alarm.
Negative,Sadness,"😭, despite the religious reference, the sentiment is one of sadness or disappointment."
Negative,Disgust,The sentiment of feeling sick and the criticism suggest disgust.
Negative,Sadness,😢 expresses sadness or disappointment about environmental damage.
Negative,Anger,"Goblok bgt sumpah (This is quite strong slang, roughly translating to ""Damn, it's really stupid"" in English.)"
Negative,Anger,The comment on the service is too low!
Negative,Disgust,😷 suggests disgust or aversion to a smell.
Negative,Anger,Why is there a comment that's so harsh towards Pandawa?
Negative,Sadness,"No response, as it's three sad face emojis 🗿🗿🗿, possibly indicating disappointment or dissatisfaction."
Negative,Disgust,"Looking at them is already nauseating, let alone those in positions. Thanks, bro, you're cool."
Negative,Anger,The comment regarding the service management is quite low.
Negative,Disgust,"The sleepy face emoji, combined with the context of nausea, suggests a negative emotional response."
Negative,Disgust,"😭, in conjunction with the mention of a smell, conveys a strong negative emotion like disgust."
Negative,Disgust,"The user expresses nausea and criticism, indicating a negative emotional response."
Negative,Disgust,"The user expresses nausea, indicating a negative emotional response."
Negative,Anger,"He's such a fool, swear to God"
Negative,Contempt,"An app to lower IQ, especially those commenting on tolls everywhere"
Negative,Sadness,"😭 (Pouting face) - ""I'm so sad"" or ""I'm pouting"""
Negative,Anger,"An app to lower IQ, commenting on all tolls - This review expresses frustration and anger towards an app that supposedly reduces IQ and comments on tolls."
Negative,Anger,Ragebait warning.
Negative,Disgust,"It seems like it was thrown away while still alive, because if it was really dead, it couldn't have been thrown away, it must have been deliberately placed there, so cruel."
Negative,Anger,How can he be so calm after dumping the dog in the river? So cruel.
Negative,Disgust,"An app to lower IQ, those commenting on all toll roads."
Negative,Anger,"For those asking for cleaning, please be independent, your house won't be in debt if you sweep regularly."
Negative,Surprise,"It's really surprising how someone saying ""that's Pandawa's task"" or cleaning the district river thinks they're a genius, it's either a prank or the SDM is extremely low."
Negative,Anger,"He's such a fool, swearing."
Negative,Fear,"😱😱😱 (Flushed Face) - ""I'm shocked"" or ""This is horrifying"""
Negative,Disgust,"Kuat bgt gak pake masker pas dibuka kafannya🤢 - ""It's so strong, no need for a mask when opening it, ugh"""
Negative,Disgust,I see them vomiting here 😫 - This review expresses disgust and distress at the sight of people vomiting.
Negative,Sadness,"walaupun gue islam gue ga tega bngt kasiannn😭 - ""Even though I'm Muslim, I'm not brave, it's so sad"""
Negative,Disgust,"It seems like it was thrown away while still alive, because if it was really dead, it couldn't be thrown away, it must have been deliberately dumped cruelly 🥹🥹 - This review continues to express disgust and anger at animal cruelty."
Negative,Disgust,Why is it so brave of that person to throw their dog into the river? It's so cruel - This review expresses disgust and moral outrage at the act of cruelty towards an animal.
Negative,Disgust,This expresses a negative emotion related to an unpleasant smell.
Negative,Contempt,"Wow, high school students who say ""this is Pandawa's task"" or clean up the local river, are they buzzer or just really low-level SDM (civil servants)? siiiih"
Negative,Fear,This expresses a fearful reaction to something.
Negative,Disgust,This expresses a strong negative reaction to an unpleasant smell.
Negative,Anger,"Such an idiot, I swear."
Negative,Sadness,😭😭😭 The comment is so low!
Negative,Anger,Why is there such a tough comment from Pandawa?
Negative,Anger,"It seems like it was thrown away while still alive, because if it was already dead, it couldn't have been intentionally dumped, it must have been done out of sheer malice."
Negative,Anger,"How could someone be so cruel to throw their dog into the river, it's terrible."
Negative,Disgust,"""An app to lower IQ, commenting on everything, especially the toll."""
Negative,Surprise,"""It's really surprising that someone who commented 'that's Pandawa's task' or 'cleaning the district river' is either a prankster or the service is extremely poor."""
Negative,Anger,"""Gosh, that's really dumb, I swear."""
Negative,Anger,"""The comment on the service was quite low!"""
Negative,Anger,"""There's a comment that's quite tough on Pandawa, isn't there?"""
Negative,Sadness,"""I see her struggling here 😫"""
Negative,Disgust,"Just looking at her, she's already sick. What more for you who are in that position."
Negative,Disgust,How can he be so calm after dumping his dog into the river? It's so cruel 🥺
Negative,Anger,"The line expresses suspicion and disapproval, aligning with the emotion of anger."
Negative,Anger,The combination of 😭🥹 with a statement about intentional harm suggests intense anger and disgust.
Negative,Anger,This statement expresses disdain or contempt for certain individuals or positions.
Negative,Disgust,The smell has reached here 😭 (Expresses disgust due to unpleasant situation.)
Negative,Disgust,"The reviewer expresses displeasure with an unpleasant smell, ""The smell has reached here 😭""."
Negative,Anger,The speaker is expressing outrage and anger at the treatment of the dog.
Negative,Sadness,The heart-wrenching comment and repeated emojis suggest deep sadness or distress.
Negative,Fear,Oh no! 😭
Negative,Sadness,😭😭😭😭😭 (Crying non-stop) - This intense crying emoji indicates deep sadness or distress.
Negative,Sadness,"Kenapa ya aku ngelihat tuh anjing langsung nangiss, kasian woilahh😭😔 (Why do I immediately feel sorry for that dog, poor thing 😭😔) - This expresses sympathy and sadness for a dog, aligning with Sadness."
Negative,Anger,"His boss is overbearing 😭😭 - The repetition of crying emojis suggests frustration or anger, fitting Anger."
Negative,Anger,"What's the difficulty of being buried, let alone thrown out?"
Negative,Sadness,"How can his dog die and not be buried, but instead thrown into a river! 😭😭, that person is crazy! - This expresses shock and dismay, fitting Sadness."
Negative,Sadness,"Oh, I can't stand looking at dead animals"
Negative,Disgust,I ended up vomiting like An too 😭😭
Negative,Fear,Oh no!
Negative,Sadness,"😭😭😭😭😭, expressing deep sadness or grief."
Negative,Disgust,The smell reaches here 😭
Negative,Sadness,"😭😔, expressing sadness and empathy."
Negative,Anger,The speaker is expressing frustration or anger towards the boss's behavior.
Negative,Sadness/Fear,"😭 (Could represent either sadness or fear, depending on context.)"
Negative,Sadness,"((( His/her boss is too much 😢😢 )), expressing sadness or disappointment."
Negative,Sadness,"Why is it so hard to be buried, it's even thrown away! (Conveys sadness and disappointment.)"
Negative,Disgust,"DUH, I can't even look at dead animals! (Expresses disgust and disapproval.)"
Negative,Fear/Anger,"Why isn't he wearing a mask? 😭😩 (Fear due to lack of safety precaution, Anger due to disregard for rules.)"
Negative,Anger,"😭😭 Instead, it's thrown into the river! What a crazy person!, indicating anger and sadness."
Negative,Anger,"ASTAGHFIRULLAH, THERE'S NO ETHIC IN HUMANS DUMPING SUCH A RICH CREATURE'S BODY"
Negative,Disgust,😮 I THROWN UP JUST LIKE ANIMALS 😭😭
Negative,Fear,😨
Negative,Disgust,THE SMELL HAS REACHED HERE 😭
Negative,Anger,🔥🔥
Negative,Sadness,The review expresses concern over the treatment of a deceased dog and its owner's potential wrongdoing.
Negative,Anger,"THEY SAY EVEN IF BURYING ANIMALS IS HARAM, WE STILL GET REWARDED, BUT THE OWNER OR THE ONE WHO CAUSES DISTRESS WILL GET SIN"
Negative,Sadness,😭
Negative,Fear,"""😳"" indicates a feeling of fear or anxiety."
Negative,Disgust,"The reviewer describes a distasteful experience, ""So, I also ended up vomiting like An 😭😭""."
Negative,Disgust,"DUH, I CAN'T EVEN LOOK AT ANIMAL CORPSES (Disgust or Contempt)"
Negative,Sadness,"Oh my goodness, humans can be so wicked, especially to animals. 🥺"
Negative,Disgust,"😭😭, what a crazy person! (Strong disgust and surprise at the irrational behavior)"
Negative,Fear,"The ""😱"" emoji signifies fear or shock, likely due to a frightening or unsettling event."
Negative,Disgust,"The smell goes this far, bg. (Expressing disgust at an unpleasant smell)"
Negative,Anger,"Won't they kill him? If a dog dies, it's not buried. Why tie it up with a cable like that, oh my! (Expressing anger and disbelief at the perceived mistreatment of a dog)"
Negative,Disgust,The frequent burping is unpleasant and raises concerns about health.
Negative,Sadness,"💀 (The use of a skull emoji often signifies sadness or despair, in this context, likely due to the perceived thoughtlessness of others)"
Negative,Fear,😱
Negative,Sadness,Poor dog... (Expressing sympathy or sadness for the dog)
Negative,Sadness,Crying non-stop 😭😭😭😭😭
Negative,Surprise,😳
Negative,Fear,😱
Negative,Disgust,"The smell has reached here, 😭"
Negative,Anger,"Supposedly, even if it's forbidden, burying animals still earns merit, but the owner or the one causing distress will incur sin."
Negative,Sadness,((( His/her boss is excessive 💔💔 )))
Negative,Disgust,"So, I also got sick (nauseous) like An 😭😭"
Negative,Sadness,"The reviewer expresses a sense of hardship or struggle, ""It's not easy being buried, let alone being thrown away."""
Negative,Fear,😱
Negative,"Sadness, Anger","How can it be that his/her dog dies but isn't buried? 😭😭 Just thrown into the river, what an outrage!"
Negative,"Anger, Sadness","Wasn't he/she killed? Having a dead dog not buried is unacceptable. What's more, they're using a cable to tie it up, oh my."
Negative,Sadness,😥
Negative,Disgust,Up to here for the smell.
Negative,Sadness,"😭😭 How can it be that her dog dies but isn't buried, instead it's thrown in the river? That person is crazy!"
Negative,Sadness,The speaker expresses empathy towards the dog.
Negative,Fear,😱
Negative,Disgust,So I also ended up vomiting like An. 😭😭
Negative,Surprise,😳
Negative,Fear,😱
Negative,Disgust,The smell has reached here 😭
Negative,Sadness,The speaker conveys a sense of pity or sadness for the situation.
Negative,Disgust,"They say that even if burying animals is forbidden, it still earns merit, but for the owner or those who make noise, they will receive a sin."
Negative,Fear,"😱😱, WHY IS IT SO HARD TO BURY SOMETHING, IT GETS THROWN AWAY"
Negative,Anger,Why isn't he wearing a mask 😭😩 (Frustration or Anger)
Negative,Anger,"The user expresses strong disapproval and anger towards someone littering, classified as Negative with the emotion of Anger."
Negative,Anger,"""Why is it hard to bury but easy to discard?"" implies frustration or anger at perceived injustice or carelessness."
Negative,Anger,The review expresses strong disapproval and anger.
Negative,Disgust,"""Why isn't he wearing a mask? 😭😩"" expresses disgust and concern."
Negative,Anger,"""Oh my goodness, there's no ethics in humans discarding such a valuable life."" expresses anger and disapproval."
Negative,Fear/Surprise,Itu jasad apa dah? (What the heck is that?) - Expresses confusion and potential fear or surprise.
Negative,Disgust,"Astaghfirullah, there's no ethics in humans throwing away the body of such a creature. - Disgust"
Negative,Surprise,😳😳😳
Negative,Anger,"Hadeeewwww, Ya Allah, why is it so extreme, throwing dog feces into the river. For others, please ask for help if there's feces, don't throw it into the river, just bury it directly. - Anger"
Negative,Disgust,The review expresses displeasure due to strong odor.
Negative,Anger,The reviewer is expressing frustration or anger over the disrespectful treatment of the animal's body.
Negative,Anger,The reviewer is expressing strong dislike or anger towards the sight of an animal corpse.
Negative,Sadness,The reviewer is expressing sadness and concern over the lack of mask-wearing.
Negative,Sadness,"The reviewer is seeking forgiveness, expressing sadness and disapproval over the act."
Negative,Anger,"""It's better to stop"" suggests frustration or anger."
Negative,Disgust,The act of throwing dog poop in the river is shameless and disrespectful.
Negative,Fear,"""No way, I can't bear to look at animal corpses."" reflects a negative emotion of fear or aversion."
Negative,Sadness,"""What's the point of burying if they're just going to be discarded?"" conveys a sense of sadness and disappointment."
Negative,Sadness,"""Why isn't he wearing a mask, poor guy?"" expresses sympathy and concern, fitting Sadness."
Negative,Disgust,"""Oh my, there's no ethics in humans discarding such a magnificent creation."" expresses strong negative sentiment, fitting Disgust due to the moral judgment."
Negative,Surprise,The reviewer is expressing shock and disbelief.
Negative,Anger,"The reviewer is expressing anger and disapproval towards littering, using a derogatory term."
Negative,Sadness,The reviewer seems to be expressing empathy or sadness over the difficulty of being buried.
Negative,Disgust,The reviewer is expressing strong aversion to the sight of a dead animal.
Negative,Anger,"Please use a mask, bg."
Negative,Surprise/Anger,Isn't it murder? The owner's dog dies and isn't buried. What's with the leash and cable?
Negative,Disgust,The reviewer is expressing disgust and frustration over the treatment of a creation.
Negative,Surprise,"The reviewer expresses shock or disbelief, likely in a negative context."
Negative,Disgust,The reviewer expresses strong disgust and disapproval towards someone's actions.
Negative,Anger,"The reviewer expresses anger and disapproval, particularly about mask-wearing."
Negative,Disgust,"The user expresses moral outrage, classified as Negative with the emotion of Disgust."
Negative,Fear,"The repeated ""Oh no"" suggests fear or concern, classified as Negative with the emotion of Fear."
Negative,Disgust,"""DUH, I can't stand looking at animal carcasses!"" expresses strong disgust."
Negative,Fear,😳😳😳 (Oh my god) - The repeated use of the fear emoticon suggests a shocked or scared reaction.
Negative,Sadness,The use of 😥 indicates sadness or disappointment.
Negative,Sadness,Kasian woilahh😭😔.
Negative,Disgust,"😭, there's no ethics in humans discarding such a rich creature's body."
Negative,Anger,The reviewer is suspicious of poisoning and upset about potential unfairness.
Negative,Fear,😱 (Fear or Surprise)
Negative,Fear,😱😱😱 indicates fear or shock.
Negative,Sadness,"Same as Review 10, expressing sadness over an unfair situation."
Negative,Anger,🔥🔥 (Anger or Intense Dislike)
Negative,Disgust,"So strong, no need for a mask when opening the coffee shop, yuck."
Negative,Sadness,😭
Negative,Sadness,It's harder to be buried than to be thrown away
Negative,Disgust,"I can't even look at an animal's corpse, let alone a human's!"
Negative,Anger,"Why aren't you wearing a mask, it's so 😭😩"
Negative,Sadness,"Even though I'm Muslim, I'm not brave, it's so pitiful."
Negative,Disgust,"Oh my, there's no etiquette for humans to discard such a magnificent creation 😭"
Negative,Sadness,Kenapa ya aku ngelihat tuh anjing langsung nangiss.
Negative,Sadness,😭 This crying face emoji suggests sadness or distress.
Negative,Sadness,😭😔 expresses deep sadness and pity.
Negative,Disgust,"Duh, I can't even look at a dead animal! This comment expresses disgust and aversion towards dead animals."
Negative,Anger,((( Majikan nya keterlaluan💔💔.
Negative,Anger,"Kok bisa bisanya si anjing nya mati tapi enggk di kuburin! 😭😭 malah di buang ke sungai gitu!, gila kali tuh org !m."
Negative,Surprise,"You're not going to die? A dog's life isn't buried, where's yours hung with cables, oh my!"
Negative,Sadness,😢.
Negative,Fear,😱😱😱 expresses intense fear or alarm.
Negative,Disgust,What kind of body is that? This comment suggests disgust or distaste towards something.
Negative,Anger,"They say even if burying animals is forbidden, it still earns merit. But for the owner or the one causing the animal's suffering, it's a sin. - This statement expresses disapproval and anger towards mistreatment of animals."
Negative,Surprise/Disbelief,"It's hard to believe, but people are being thrown out of their graves. - The statement expresses surprise and potentially disbelief."
Negative,Disgust,"""So strong, no need for a mask when opening it, it makes me sick"" expresses disgust."
Negative,Sadness,The review expresses a sense of pity or sadness.
Negative,Sadness/Disgust,"I can't stand looking at dead animals, it's so disturbing. - This expresses both sadness and disgust."
Negative,Fear/Surprise,"Why isn't he wearing a mask, oh no 😭😩 - The combination of fear and surprise is apparent."
Negative,Disgust,"Astaghfirullah 😭 (Oh, how unethical for humans to discard a creature like that) - The strong expression of disgust is clear."
Negative,Sadness,"Your wages in heaven are high, 😢 (The review expresses sadness, indicating a negative sentiment.)"
Negative,Disgust,"Even just looking at it makes me feel nauseous, let alone you guys who are in that position. Thanks, bro. You guys are awesome. expresses disgust and surprise."
Negative,Anger,"😭😭 (Intense laughter often indicates surprise or shock, in this context, likely due to frustration or annoyance)"
Negative,Disgust,Vomiting blood is typically associated with severe illness or distress.
Negative,Anger,The reviewer is expressing annoyance or frustration.
Negative,Anger,"The statement expresses frustration and disapproval, indicative of anger."
Negative,Sadness,"The statement implies sympathy or pity, suggesting sadness."
Negative,Disgust,"The comment describes a strong, unpleasant odor."
Negative,Disgust,"The comment reinforces the notion of a strong, unpleasant odor."
Negative,Disgust,"The review describes an unpleasant experience involving vomiting, indicating disgust."
Negative,Sadness,The comment expresses envy or dissatisfaction with one's own situation.
Negative,Fear,The comment suggests a fearful or alarming situation.
Negative,Suspicion,The comment implies doubt or unease.
Negative,Fear/Surprise,"The review expresses fear or surprise at the sight of a potential dead dog, symbolized by ""😨 Is that a dead dog?""."
Negative,Sadness,The 😭 emoji suggests sadness or grief.
Negative,Fear,"The review indicates fear or intimidation with the mention of ""Jir is scary 😱""."
Negative,Sadness,"The review conveys disappointment and dissatisfaction with people's lack of appreciation, symbolized by ""😔😔""."
Negative,Sadness,"""Mana aku lg makan liat kakanya muntah😭"" translates to ""Where am I going to eat, looking at her vomit? 😭"", indicating sadness or disgust."
Negative,Disgust,"""itu mayat anjing ga sih?"" translates to ""Is that a dead dog, isn't it?"" suggesting disgust or revulsion."
Negative,Disgust,"The statement implies a negative reaction to a smell, indicating disgust."
Negative,Fear,"The user is expressing fear or anxiety, possibly due to a character's situation."
Negative,Anger,The user is expressing frustration or disappointment with others' behavior.
Negative,Sadness,The user seems disappointed or disillusioned with the direction of the story. 😿
Negative,Sadness,"The user is expressing pity or sympathy, suggesting a negative emotional state."
Negative,Sadness,"The user is expressing nausea, possibly due to emotional distress or discomfort. 😭"
Negative,Anger/Disgust,The comment expresses anger or disgust towards animal abuse.
Negative,Disgust,"The review expresses discomfort and disgust, possibly related to a bodily function or unpleasant smell."
Negative,Sadness,"It's really pitiful, the poor guy 😥💓"
Negative,Sadness,"The review expresses strong sadness and distress, possibly due to a disturbing visual or smell."
Negative,Disgust,"The review expresses strong disgust, possibly related to a smell."
Negative,Anger,Why do people comment like this instead of appreciating it? 😔😔
Negative,Surprise,Even the country of Konoha seems to be acting wicked now 😭🗿🗿
Negative,Disgust,"The review expresses strong disgust, possibly related to an overpowering smell."
Negative,Sadness,"The review expresses sadness and dismay, possibly due to a disturbing visual or comparison."
Negative,Fear,The emoticon 😱 signifies fear or alarm.
Negative,Disgust,The question suggests disgust or revulsion at the thought of a dog's corpse.
Negative,Sadness,The review explicitly states sadness.
Negative,Sadness,"The reviewer seems disappointed with the lack of appreciation, showing sadness."
Negative,Regret,Why didn't I join in on the fun?🗿
Negative,Fear,"The reviewer finds Jir scary, indicating fear as the primary emotion."
Negative,Anger,"The reviewer seems frustrated or angry at others' behavior, indicating a negative sentiment."
Negative,Disgust,Throwing up blood.
Negative,Anger,"The reviewer expresses anger or disappointment towards the country of Konoha, indicating a negative sentiment."
Negative,Sadness,"The reviewer expresses pity or sadness, indicating a negative sentiment towards the subject."
Negative,Sadness,"Alright, this time I'll bury my dead fish."
Negative,Disgust,"The reviewer seems repulsed, indicating a negative reaction to the content. The emoji 😷 suggests nausea, further emphasizing disgust."
Negative,Disgust,"The question ""Do you smell that here, here? 😷"" suggests disgust."
Negative,Disgust,I can't even imagine the smell.🥵
Negative,Disgust,"The description ""Like a dog made for a sacrifice 😭"" expresses disgust."
Negative,Disgust,"The smell is so strong, it reaches here.😭"
Negative,Fear,"The mention of ""Jir is scary 😱"" indicates fear."
Negative,Sadness,Your payment in heaven is so big 😢
Negative,Fear,"""Jir is scared."" directly states fear or worry."
Negative,Sadness,The comment conveys a sense of loss or grief.
Negative,Anger/Disgust,You're like a corpse
Negative,Anger,"""Why do people comment like this instead of appreciation 😔😔"" expresses frustration or anger."
Negative,Sadness,😢
Negative,Disgust,Vomiting blood
Negative,Anger,"""The country of Konoha is going downhill."" suggests dissatisfaction or anger."
Negative,Sadness,"""Feel sorry for them."" conveys empathy and sadness."
Negative,Sadness,"""Where am I now, watching her vomit 😭"" expresses sympathy or sadness for someone's distress."
Negative,Sadness,"The statement ""My stomach hurts so much 😭😭"" expresses physical discomfort and pain, aligning with sadness."
Negative,Disgust,"The phrase ""itu mayat anjing ga sih?"" translates to ""Isn't that a dead dog?"" indicating disgust or repulsion."
Negative,Anger/Fear,"Why are there so many people cruelly slaughtering animals, I swear 😭"
Negative,Disgust,"I'd vomit if I saw it, oh Allah 😢😢😢"
Negative,Disgust,"The statement implies a negative reaction to a smell, indicating disgust."
Negative,Disgust,"The comment implies a strong, unpleasant smell."
Negative,Anger,The comment expresses frustration or annoyance.
Negative,Anger/Fear,"The review expresses suspicion and fear, possibly due to something unnatural or concerning."
Negative,Fear,I think this is a dead person's body.
Negative,Suspicion,"I'm suspicious, it's not a natural dog smell. 😕"
Negative,Sadness,"😭 It's scary how the owner of something like this is so careless, ordering others to dispose of it, those unwilling end up being thrown away like that."
Negative,Disgust,"The comment implies a spreading unpleasant smell, similar to Review 2, evoking disgust."
Negative,Sadness,The combination of 😭 and 🙏 suggests deep sadness and despair.
Negative,Disgust,"The comment suggests an unpleasant smell, evoking a feeling of disgust."
Negative,Sadness,"It's really pitiful, the way they're struggling. 😥💓 (Sadness due to empathy for their struggle)"
Negative,Sadness,"The repeated use of 😢, along with a plea to Allah, suggests intense sadness and distress."
Negative,Sadness,The smell is overpowering here [cry] (Sadness due to distress caused by the smell)
Negative,Surprise,"I'm gonna puke, seriously 🤣🤣 (Surprise due to the unexpected, negative reaction)"
Negative,Disgust,The line expresses annoyance or disgust due to a strong smell reaching a certain point.
Negative,Sadness,The line expresses sympathy and sadness towards a pitiful situation.
Negative,Sadness,"The line expresses sadness due to a strong smell, possibly associated with unpleasant memories or experiences."
Negative,Anger,"Read the comment yourself, maybe it's asking for a river cleanup in their area. That's not a pandarawan's job, man. - The comment expresses frustration and disapproval, categorizing it as negative and associated with anger."
Negative,Sadness,"Those who abandon their dogs, don't have brains, why not bury them properly? 😥 - The comment expresses disappointment and sadness towards animal abandonment."
Negative,Fear,The emoticon 😰 indicates fear or anxiety.
Negative,Disgust,The line expresses disgust towards the owner's behavior and the treatment of others.
Negative,Fear/Surprise,The reviewer's confusion or fear at thinking it was a baby's body is implied.
Negative,Disgust,"Similar to Reviews 2 and 6, this comment also implies an unpleasant smell, evoking disgust."
Negative,Disgust,The reviewer expresses disgust at the thought of a dog's corpse.
Negative,Sadness,The reviewer expresses pity and sadness for the poor guy.
Negative,Sadness,"The phrase ""baunya nyampek sini [cry]"" suggests sadness or disappointment."
Negative,Sadness,"It's pitiful to be teased like this - This comment conveys a sense of pity and sadness, fitting the negative category."
Negative,Sadness,"The reviewer is upset and crying due to an overwhelming smell, indicating sadness."
Negative,Confusion,"I'm suspicious, isn't it not a natural dog's behavior? 😕 - The comment expresses doubt and puzzlement, classifying it as negative and associated with confusion."
